registrySchemaVersion	2
id	title	subject	category	topic	environmentFamily	executorKind	inputs	outputs	widget	widgetSizes	compact	offlinePolicy	liveDataPolicy	historyPolicy	schemaVersion	aliases
age-calculator	Age Calculator	DATE_TIME	Dates	Age	DateTimeTool	DATE_TIME	birthDate:DATE;onDate:DATE	age:TEXT	false		false	OFFLINE_FULL	NONE	SAVE	1	age|how old
arithmetic-sequence	Arithmetic Sequence	MATH	Algebra	Sequences	FormulaSolver	MATH_UTILITY	first:NUMBER;difference:NUMBER;n:INTEGER	nth:NUMBER;sum:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	ap|arithmetic progression
calculus-tool	Calculus Tool	MATH	Calculus	Differentiation and integration	CalculusTool	CALCULUS	operation:SELECT{differentiate,integrate,numerical derivative,numerical integral};expression:EXPRESSION;from:NUMBER?;to:NUMBER?;at:NUMBER?	result:STRUCTURED	false		false	OFFLINE_FULL	NONE	SAVE	1	calculus|derivative|integral
chemistry-dilution	Dilution	CHEMISTRY	Chemistry	Solutions	FormulaSolver	FORMULA	C1:NUMBER[mol/L];V1:NUMBER[L];C2:NUMBER[mol/L];V2:NUMBER[L]	C1:NUMBER;V1:NUMBER;C2:NUMBER;V2:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
chemistry-ideal-gas	Ideal Gas Law	CHEMISTRY	Chemistry	Gases	FormulaSolver	FORMULA	P:NUMBER[Pa];V:NUMBER[m³];n:NUMBER[mol];T:NUMBER[K]	P:NUMBER;V:NUMBER;n:NUMBER;T:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	gas law|pv=nrt
chemistry-mass-moles	Mass ↔ Moles	CHEMISTRY	Chemistry	Amount of Substance	FormulaSolver	FORMULA	n:NUMBER[mol];m:NUMBER[g];M:NUMBER[g/mol]	n:NUMBER;m:NUMBER;M:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
chemistry-molarity	Molarity	CHEMISTRY	Chemistry	Solutions	FormulaSolver	FORMULA	C:NUMBER[mol/L];n:NUMBER[mol];V:NUMBER[L]	C:NUMBER;n:NUMBER;V:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
chemistry-solution-density	Solution Density	CHEMISTRY	Chemistry	Solutions	FormulaSolver	FORMULA	rho:NUMBER[kg/m³];m:NUMBER[kg];V:NUMBER[m³]	rho:NUMBER;m:NUMBER;V:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
chemistry-stoichiometric-ratio	Stoichiometric Mole Ratio	CHEMISTRY	Chemistry	Stoichiometry	FormulaSolver	FORMULA	n1:NUMBER[mol];c1:NUMBER;c2:NUMBER;n2:NUMBER[mol]	n2:NUMBER;n1:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	mole ratio|stoichiometry
complex-calculator	Complex Number Calculator	MATH	Complex Numbers	Complex arithmetic	FormulaSolver	EXPRESSION	expression:EXPRESSION	result:STRUCTURED	false		false	OFFLINE_FULL	NONE	SAVE	1	complex numbers|imaginary numbers
coordinate-distance	Point Distance	GEOMETRY	Coordinate Geometry	Points	GeometryTool	GEOMETRY	x1:NUMBER;y1:NUMBER;x2:NUMBER;y2:NUMBER	distance:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	distance formula
coordinate-midpoint	Midpoint	GEOMETRY	Coordinate Geometry	Points	GeometryTool	GEOMETRY	x1:NUMBER;y1:NUMBER;x2:NUMBER;y2:NUMBER	midpoint:STRUCTURED	false		false	OFFLINE_FULL	NONE	SAVE	1	
cubic-solver	Cubic Equation Solver	MATH	Algebra	Cubic equations	PolynomialSolver	POLYNOMIAL	a:NUMBER;b:NUMBER;c:NUMBER;d:NUMBER;rhs:NUMBER?	roots:ROOTS	false		false	OFFLINE_FULL	NONE	SAVE	1	cubic|third degree equation
