id	requirement	status	test/evidence	exactSHA	limitations
AC-01	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-02	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-03	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-04	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-05	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-06	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-07	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-08	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-09	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-10	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-11	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-12	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
