sourceRefs	grade/level	toolId	title	category	topic	formula	supportedSolveTargets	calculationMethod	exactness	offlinePolicy	status	boundaryNotes
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-centripetal-acceleration	Centripetal Acceleration	Grade 10 Physics	Circular motion	ac=v^2/r	ac,r,v	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-centripetal-force	Centripetal Force	Grade 10 Physics	Circular motion	Fc=m*v^2/r	Fc,m,r,v	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-friction	Friction Force	Grade 10 Physics	Dynamics	Ff=mu*N	Ff,N,mu	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-gravitation	Universal Gravitation	Grade 10 Physics	Gravitation	F=G*m1*m2/r^2	F,m1,m2,r	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-hooke	Hooke's Law	Grade 10 Physics	Elasticity	F=k*x	F,k,x	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-kinematics-displacement	Uniformly Accelerated Displacement	Grade 10 Physics	Kinematics	s=v0*t+a*t^2/2	a,s,v0	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-kinematics-no-time	Kinematics Without Time	Grade 10 Physics	Kinematics	v^2=v0^2+2*a*s	a,s,v,v0	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-kinematics-velocity	Uniformly Accelerated Velocity	Grade 10 Physics	Kinematics	v=v0+a*t	a,t,v,v0	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-mechanical-efficiency	Mechanical Efficiency	Grade 10 Physics	Work and power	eta=useful/input*100	eta,input,useful	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-momentum-collision	One-Dimensional Momentum Conservation	Grade 10 Physics	Momentum	m1*u1+m2*u2=m1*v1+m2*v2	u1,u2,v1,v2	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
